Name;BlockType;Number;Adress;InstanceOfName;Path;
Main;OB;1;OB1;;;
Pull or plug of modules;OB;83;OB83;;;
Rack or station failure;OB;86;OB86;;;
GENERAL;DB;1;DB1;;;
SYS_INFO;FB;2;FB2;;;
SYSTEM_INFO;DB;2;DB2;SYS_INFO;;
Programming error;OB;121;OB121;;;
Startup;OB;100;OB100;;;
SIM;FC;1000;FC1000;;;
ALARM_AI;FB;710;FB710;;ALARM\;
ALARM_VLV;FB;712;FB712;;ALARM\;
ALARM_VFD_E;FB;713;FB713;;ALARM\;
ALARM_MRT;FB;711;FB711;;ALARM\;
ALARM_ESD;FB;714;FB714;;ALARM\;
AI_FB;FB;300;FB300;;ANALOG_IN\;
CONTROL_AI;FC;300;FC300;;ANALOG_IN\;
TIR627;DB;327;DB327;AI_FB;ANALOG_IN\C600\1.TIR (6xx)\;
TIR626;DB;326;DB326;AI_FB;ANALOG_IN\C600\1.TIR (6xx)\;
TIR625;DB;325;DB325;AI_FB;ANALOG_IN\C600\1.TIR (6xx)\;
TIR624;DB;324;DB324;AI_FB;ANALOG_IN\C600\1.TIR (6xx)\;
TIR623;DB;323;DB323;AI_FB;ANALOG_IN\C600\1.TIR (6xx)\;
TIR622;DB;322;DB322;AI_FB;ANALOG_IN\C600\1.TIR (6xx)\;
TIR621;DB;321;DB321;AI_FB;ANALOG_IN\C600\1.TIR (6xx)\;
TIR620;DB;320;DB320;AI_FB;ANALOG_IN\C600\1.TIR (6xx)\;
TIR619;DB;319;DB319;AI_FB;ANALOG_IN\C600\1.TIR (6xx)\;
TIR618;DB;318;DB318;AI_FB;ANALOG_IN\C600\1.TIR (6xx)\;
TIR617;DB;317;DB317;AI_FB;ANALOG_IN\C600\1.TIR (6xx)\;
TIR616;DB;316;DB316;AI_FB;ANALOG_IN\C600\1.TIR (6xx)\;
TIR628;DB;328;DB328;AI_FB;ANALOG_IN\C600\1.TIR (6xx)\;
TIR615;DB;315;DB315;AI_FB;ANALOG_IN\C600\1.TIR (6xx)\;
TIR613;DB;313;DB313;AI_FB;ANALOG_IN\C600\1.TIR (6xx)\;
TIR612;DB;312;DB312;AI_FB;ANALOG_IN\C600\1.TIR (6xx)\;
TIR611;DB;311;DB311;AI_FB;ANALOG_IN\C600\1.TIR (6xx)\;
TIR610;DB;310;DB310;AI_FB;ANALOG_IN\C600\1.TIR (6xx)\;
TIR609;DB;309;DB309;AI_FB;ANALOG_IN\C600\1.TIR (6xx)\;
TIR608;DB;308;DB308;AI_FB;ANALOG_IN\C600\1.TIR (6xx)\;
TIR607;DB;307;DB307;AI_FB;ANALOG_IN\C600\1.TIR (6xx)\;
TIR606;DB;306;DB306;AI_FB;ANALOG_IN\C600\1.TIR (6xx)\;
TIR605;DB;305;DB305;AI_FB;ANALOG_IN\C600\1.TIR (6xx)\;
TIR604;DB;304;DB304;AI_FB;ANALOG_IN\C600\1.TIR (6xx)\;
TIR603;DB;303;DB303;AI_FB;ANALOG_IN\C600\1.TIR (6xx)\;
TIR602;DB;302;DB302;AI_FB;ANALOG_IN\C600\1.TIR (6xx)\;
TIR614;DB;314;DB314;AI_FB;ANALOG_IN\C600\1.TIR (6xx)\;
TIR629;DB;329;DB329;AI_FB;ANALOG_IN\C600\1.TIR (6xx)\;
TIR601;DB;301;DB301;AI_FB;ANALOG_IN\C600\1.TIR (6xx)\;
TIR630;DB;330;DB330;AI_FB;ANALOG_IN\C600\1.TIR (6xx)\;
TIR631;DB;331;DB331;AI_FB;ANALOG_IN\C600\1.TIR (6xx)\;
TIR632;DB;332;DB332;AI_FB;ANALOG_IN\C600\1.TIR (6xx)\;
TIR633;DB;333;DB333;AI_FB;ANALOG_IN\C600\1.TIR (6xx)\;
TIR634;DB;334;DB334;AI_FB;ANALOG_IN\C600\1.TIR (6xx)\;
TIR635;DB;335;DB335;AI_FB;ANALOG_IN\C600\1.TIR (6xx)\;
TIR636;DB;336;DB336;AI_FB;ANALOG_IN\C600\1.TIR (6xx)\;
TIR637;DB;337;DB337;AI_FB;ANALOG_IN\C600\1.TIR (6xx)\;
TIR638;DB;338;DB338;AI_FB;ANALOG_IN\C600\1.TIR (6xx)\;
TIR639;DB;339;DB339;AI_FB;ANALOG_IN\C600\1.TIR (6xx)\;
TIR640;DB;340;DB340;AI_FB;ANALOG_IN\C600\1.TIR (6xx)\;
TIR641;DB;341;DB341;AI_FB;ANALOG_IN\C600\1.TIR (6xx)\;
TIR642;DB;342;DB342;AI_FB;ANALOG_IN\C600\1.TIR (6xx)\;
TIR643;DB;343;DB343;AI_FB;ANALOG_IN\C600\1.TIR (6xx)\;
TIR644;DB;344;DB344;AI_FB;ANALOG_IN\C600\1.TIR (6xx)\;
TIR645;DB;345;DB345;AI_FB;ANALOG_IN\C600\1.TIR (6xx)\;
TIR646;DB;346;DB346;AI_FB;ANALOG_IN\C600\1.TIR (6xx)\;
TIR647;DB;347;DB347;AI_FB;ANALOG_IN\C600\1.TIR (6xx)\;
TIR648;DB;348;DB348;AI_FB;ANALOG_IN\C600\1.TIR (6xx)\;
TIR649;DB;349;DB349;AI_FB;ANALOG_IN\C600\1.TIR (6xx)\;
TIR650;DB;350;DB350;AI_FB;ANALOG_IN\C600\1.TIR (6xx)\;
TIR651;DB;351;DB351;AI_FB;ANALOG_IN\C600\1.TIR (6xx)\;
TIR652;DB;352;DB352;AI_FB;ANALOG_IN\C600\1.TIR (6xx)\;
TIR653;DB;353;DB353;AI_FB;ANALOG_IN\C600\1.TIR (6xx)\;
TIR654;DB;354;DB354;AI_FB;ANALOG_IN\C600\1.TIR (6xx)\;
TIR655;DB;355;DB355;AI_FB;ANALOG_IN\C600\1.TIR (6xx)\;
TIR656;DB;356;DB356;AI_FB;ANALOG_IN\C600\1.TIR (6xx)\;
TIR657;DB;357;DB357;AI_FB;ANALOG_IN\C600\1.TIR (6xx)\;
TIR658;DB;358;DB358;AI_FB;ANALOG_IN\C600\1.TIR (6xx)\;
C600_AI_SET_TIR;DB;300;DB300;;ANALOG_IN\C600\1.TIR (6xx)\;
C600_CTRL_AI_TIR;FC;301;FC301;;ANALOG_IN\C600\1.TIR (6xx)\;
C600_AI_SET_PIR;DB;400;DB400;;ANALOG_IN\C600\2.PIR\;
C600_CTRL_AI_PIR;FC;303;FC303;;ANALOG_IN\C600\2.PIR\;
PIR601;DB;401;DB401;AI_FB;ANALOG_IN\C600\2.PIR\;
PIR602;DB;402;DB402;AI_FB;ANALOG_IN\C600\2.PIR\;
PIR603;DB;403;DB403;AI_FB;ANALOG_IN\C600\2.PIR\;
PIR604;DB;404;DB404;AI_FB;ANALOG_IN\C600\2.PIR\;
PIR605;DB;405;DB405;AI_FB;ANALOG_IN\C600\2.PIR\;
PIR606;DB;406;DB406;AI_FB;ANALOG_IN\C600\2.PIR\;
PIR607;DB;407;DB407;AI_FB;ANALOG_IN\C600\2.PIR\;
PIR608;DB;408;DB408;AI_FB;ANALOG_IN\C600\2.PIR\;
PIR609;DB;409;DB409;AI_FB;ANALOG_IN\C600\2.PIR\;
PIR610;DB;410;DB410;AI_FB;ANALOG_IN\C600\2.PIR\;
PIR611;DB;411;DB411;AI_FB;ANALOG_IN\C600\2.PIR\;
PIR612;DB;412;DB412;AI_FB;ANALOG_IN\C600\2.PIR\;
PIR613;DB;413;DB413;AI_FB;ANALOG_IN\C600\2.PIR\;
PIR614;DB;414;DB414;AI_FB;ANALOG_IN\C600\2.PIR\;
PIR615;DB;415;DB415;AI_FB;ANALOG_IN\C600\2.PIR\;
PIR616;DB;416;DB416;AI_FB;ANALOG_IN\C600\2.PIR\;
PIR617;DB;417;DB417;AI_FB;ANALOG_IN\C600\2.PIR\;
PIR618;DB;418;DB418;AI_FB;ANALOG_IN\C600\2.PIR\;
PIR619;DB;419;DB419;AI_FB;ANALOG_IN\C600\2.PIR\;
PIR620;DB;420;DB420;AI_FB;ANALOG_IN\C600\2.PIR\;
PIR621;DB;421;DB421;AI_FB;ANALOG_IN\C600\2.PIR\;
PIR622;DB;422;DB422;AI_FB;ANALOG_IN\C600\2.PIR\;
PIR623;DB;423;DB423;AI_FB;ANALOG_IN\C600\2.PIR\;
PIR624;DB;424;DB424;AI_FB;ANALOG_IN\C600\2.PIR\;
PIR625;DB;425;DB425;AI_FB;ANALOG_IN\C600\2.PIR\;
PIR626;DB;426;DB426;AI_FB;ANALOG_IN\C600\2.PIR\;
PIR627;DB;427;DB427;AI_FB;ANALOG_IN\C600\2.PIR\;
PIR628;DB;428;DB428;AI_FB;ANALOG_IN\C600\2.PIR\;
PIR629;DB;429;DB429;AI_FB;ANALOG_IN\C600\2.PIR\;
PIR630;DB;430;DB430;AI_FB;ANALOG_IN\C600\2.PIR\;
PIR6101;DB;431;DB431;AI_FB;ANALOG_IN\C600\2.PIR\;
PIR6102;DB;432;DB432;AI_FB;ANALOG_IN\C600\2.PIR\;
PIR6103;DB;433;DB433;AI_FB;ANALOG_IN\C600\2.PIR\;
PIR6104;DB;434;DB434;AI_FB;ANALOG_IN\C600\2.PIR\;
PIR6105;DB;435;DB435;AI_FB;ANALOG_IN\C600\2.PIR\;
PIR6106;DB;436;DB436;AI_FB;ANALOG_IN\C600\2.PIR\;
PIR6107;DB;437;DB437;AI_FB;ANALOG_IN\C600\2.PIR\;
PIR6108;DB;438;DB438;AI_FB;ANALOG_IN\C600\2.PIR\;
PIR6109;DB;439;DB439;AI_FB;ANALOG_IN\C600\2.PIR\;
PIR6110;DB;440;DB440;AI_FB;ANALOG_IN\C600\2.PIR\;
PIR6111;DB;441;DB441;AI_FB;ANALOG_IN\C600\2.PIR\;
PIR6112;DB;442;DB442;AI_FB;ANALOG_IN\C600\2.PIR\;
PIR6113;DB;443;DB443;AI_FB;ANALOG_IN\C600\2.PIR\;
PIR6114;DB;444;DB444;AI_FB;ANALOG_IN\C600\2.PIR\;
PIR6115;DB;445;DB445;AI_FB;ANALOG_IN\C600\2.PIR\;
PIR6116;DB;446;DB446;AI_FB;ANALOG_IN\C600\2.PIR\;
PIR6117;DB;447;DB447;AI_FB;ANALOG_IN\C600\2.PIR\;
PIR6118;DB;448;DB448;AI_FB;ANALOG_IN\C600\2.PIR\;
PIR6119;DB;449;DB449;AI_FB;ANALOG_IN\C600\2.PIR\;
PIR6120;DB;450;DB450;AI_FB;ANALOG_IN\C600\2.PIR\;
PIR6121;DB;451;DB451;AI_FB;ANALOG_IN\C600\2.PIR\;
PIR6122;DB;452;DB452;AI_FB;ANALOG_IN\C600\2.PIR\;
PIR6123;DB;453;DB453;AI_FB;ANALOG_IN\C600\2.PIR\;
PIR6124;DB;454;DB454;AI_FB;ANALOG_IN\C600\2.PIR\;
PIR6125;DB;455;DB455;AI_FB;ANALOG_IN\C600\2.PIR\;
PIR6126;DB;456;DB456;AI_FB;ANALOG_IN\C600\2.PIR\;
PIR6127;DB;457;DB457;AI_FB;ANALOG_IN\C600\2.PIR\;
PIR6128;DB;458;DB458;AI_FB;ANALOG_IN\C600\2.PIR\;
PIR6129;DB;459;DB459;AI_FB;ANALOG_IN\C600\2.PIR\;
PIR6130;DB;460;DB460;AI_FB;ANALOG_IN\C600\2.PIR\;
PIR6131;DB;461;DB461;AI_FB;ANALOG_IN\C600\2.PIR\;
PIR6132;DB;462;DB462;AI_FB;ANALOG_IN\C600\2.PIR\;
PIR6133;DB;463;DB463;AI_FB;ANALOG_IN\C600\2.PIR\;
PIR6134;DB;464;DB464;AI_FB;ANALOG_IN\C600\2.PIR\;
PIR6136;DB;466;DB466;AI_FB;ANALOG_IN\C600\2.PIR\;
PIR6137;DB;467;DB467;AI_FB;ANALOG_IN\C600\2.PIR\;
PIR6138;DB;468;DB468;AI_FB;ANALOG_IN\C600\2.PIR\;
PIR6139;DB;469;DB469;AI_FB;ANALOG_IN\C600\2.PIR\;
PIR6140;DB;470;DB470;AI_FB;ANALOG_IN\C600\2.PIR\;
PIR6141;DB;471;DB471;AI_FB;ANALOG_IN\C600\2.PIR\;
PIR6142;DB;472;DB472;AI_FB;ANALOG_IN\C600\2.PIR\;
PIR6143;DB;473;DB473;AI_FB;ANALOG_IN\C600\2.PIR\;
PIR6144;DB;474;DB474;AI_FB;ANALOG_IN\C600\2.PIR\;
PIR6145;DB;475;DB475;AI_FB;ANALOG_IN\C600\2.PIR\;
PIR6146;DB;476;DB476;AI_FB;ANALOG_IN\C600\2.PIR\;
PIR6147;DB;477;DB477;AI_FB;ANALOG_IN\C600\2.PIR\;
PIR6148;DB;478;DB478;AI_FB;ANALOG_IN\C600\2.PIR\;
PIR6149;DB;479;DB479;AI_FB;ANALOG_IN\C600\2.PIR\;
PIR6150;DB;480;DB480;AI_FB;ANALOG_IN\C600\2.PIR\;
PIR6151;DB;481;DB481;AI_FB;ANALOG_IN\C600\2.PIR\;
PIR6135;DB;465;DB465;AI_FB;ANALOG_IN\C600\2.PIR\;
C600_AI_SET_LIR;DB;500;DB500;;ANALOG_IN\C600\3.LIR\;
C600_CTRL_AI_LIR;FC;304;FC304;;ANALOG_IN\C600\3.LIR\;
LIR601;DB;501;DB501;AI_FB;ANALOG_IN\C600\3.LIR\;
LIR602;DB;502;DB502;AI_FB;ANALOG_IN\C600\3.LIR\;
LIR603;DB;503;DB503;AI_FB;ANALOG_IN\C600\3.LIR\;
LIR604;DB;504;DB504;AI_FB;ANALOG_IN\C600\3.LIR\;
LIR605;DB;505;DB505;AI_FB;ANALOG_IN\C600\3.LIR\;
LIR606;DB;506;DB506;AI_FB;ANALOG_IN\C600\3.LIR\;
LIR607;DB;507;DB507;AI_FB;ANALOG_IN\C600\3.LIR\;
LIR608;DB;508;DB508;AI_FB;ANALOG_IN\C600\3.LIR\;
LIR609;DB;509;DB509;AI_FB;ANALOG_IN\C600\3.LIR\;
LIR610;DB;510;DB510;AI_FB;ANALOG_IN\C600\3.LIR\;
LIR611;DB;511;DB511;AI_FB;ANALOG_IN\C600\3.LIR\;
LIR612;DB;512;DB512;AI_FB;ANALOG_IN\C600\3.LIR\;
LIR613;DB;513;DB513;AI_FB;ANALOG_IN\C600\3.LIR\;
LIR614;DB;514;DB514;AI_FB;ANALOG_IN\C600\3.LIR\;
LIR615;DB;515;DB515;AI_FB;ANALOG_IN\C600\3.LIR\;
LIR616;DB;516;DB516;AI_FB;ANALOG_IN\C600\3.LIR\;
LIR617;DB;517;DB517;AI_FB;ANALOG_IN\C600\3.LIR\;
LIR618;DB;518;DB518;AI_FB;ANALOG_IN\C600\3.LIR\;
LIR619;DB;519;DB519;AI_FB;ANALOG_IN\C600\3.LIR\;
LIR620;DB;520;DB520;AI_FB;ANALOG_IN\C600\3.LIR\;
LIR621;DB;521;DB521;AI_FB;ANALOG_IN\C600\3.LIR\;
LIR622;DB;522;DB522;AI_FB;ANALOG_IN\C600\3.LIR\;
LIR623;DB;523;DB523;AI_FB;ANALOG_IN\C600\3.LIR\;
LIR624;DB;524;DB524;AI_FB;ANALOG_IN\C600\3.LIR\;
LIR625;DB;525;DB525;AI_FB;ANALOG_IN\C600\3.LIR\;
LIR6101;DB;531;DB531;AI_FB;ANALOG_IN\C600\3.LIR\;
LIR6102;DB;532;DB532;AI_FB;ANALOG_IN\C600\3.LIR\;
LIR6103;DB;533;DB533;AI_FB;ANALOG_IN\C600\3.LIR\;
LIR6104;DB;534;DB534;AI_FB;ANALOG_IN\C600\3.LIR\;
LIR6105;DB;535;DB535;AI_FB;ANALOG_IN\C600\3.LIR\;
LIR6106;DB;536;DB536;AI_FB;ANALOG_IN\C600\3.LIR\;
LIR6107;DB;537;DB537;AI_FB;ANALOG_IN\C600\3.LIR\;
LIR6108;DB;538;DB538;AI_FB;ANALOG_IN\C600\3.LIR\;
LIR6109;DB;539;DB539;AI_FB;ANALOG_IN\C600\3.LIR\;
LIR6110;DB;540;DB540;AI_FB;ANALOG_IN\C600\3.LIR\;
LIR6111;DB;541;DB541;AI_FB;ANALOG_IN\C600\3.LIR\;
LIR6112;DB;542;DB542;AI_FB;ANALOG_IN\C600\3.LIR\;
LIR6113;DB;543;DB543;AI_FB;ANALOG_IN\C600\3.LIR\;
LIR6114;DB;544;DB544;AI_FB;ANALOG_IN\C600\3.LIR\;
LIR6115;DB;545;DB545;AI_FB;ANALOG_IN\C600\3.LIR\;
LIR6116;DB;546;DB546;AI_FB;ANALOG_IN\C600\3.LIR\;
LIR6117;DB;547;DB547;AI_FB;ANALOG_IN\C600\3.LIR\;
LIR6118;DB;548;DB548;AI_FB;ANALOG_IN\C600\3.LIR\;
LIR6119;DB;549;DB549;AI_FB;ANALOG_IN\C600\3.LIR\;
LIR6120;DB;550;DB550;AI_FB;ANALOG_IN\C600\3.LIR\;
LIR6121;DB;551;DB551;AI_FB;ANALOG_IN\C600\3.LIR\;
LIR6122;DB;552;DB552;AI_FB;ANALOG_IN\C600\3.LIR\;
LIR6123;DB;553;DB553;AI_FB;ANALOG_IN\C600\3.LIR\;
C600_AI_SET_FIR;DB;600;DB600;;ANALOG_IN\C600\4.FIR\;
C600_CTRL_AI_FIR;FC;305;FC305;;ANALOG_IN\C600\4.FIR\;
FIR601;DB;601;DB601;AI_FB;ANALOG_IN\C600\4.FIR\;
FIR602;DB;602;DB602;AI_FB;ANALOG_IN\C600\4.FIR\;
FIR603;DB;603;DB603;AI_FB;ANALOG_IN\C600\4.FIR\;
FIR604;DB;604;DB604;AI_FB;ANALOG_IN\C600\4.FIR\;
FIR605;DB;605;DB605;AI_FB;ANALOG_IN\C600\4.FIR\;
FIR606;DB;606;DB606;AI_FB;ANALOG_IN\C600\4.FIR\;
FIR607;DB;607;DB607;AI_FB;ANALOG_IN\C600\4.FIR\;
FIR608;DB;608;DB608;AI_FB;ANALOG_IN\C600\4.FIR\;
FIR609;DB;609;DB609;AI_FB;ANALOG_IN\C600\4.FIR\;
FIR610;DB;610;DB610;AI_FB;ANALOG_IN\C600\4.FIR\;
FIR611;DB;611;DB611;AI_FB;ANALOG_IN\C600\4.FIR\;
FIR612;DB;612;DB612;AI_FB;ANALOG_IN\C600\4.FIR\;
FIR613;DB;613;DB613;AI_FB;ANALOG_IN\C600\4.FIR\;
FIR614;DB;614;DB614;AI_FB;ANALOG_IN\C600\4.FIR\;
FIR615;DB;615;DB615;AI_FB;ANALOG_IN\C600\4.FIR\;
FIR616;DB;616;DB616;AI_FB;ANALOG_IN\C600\4.FIR\;
FIR617;DB;617;DB617;AI_FB;ANALOG_IN\C600\4.FIR\;
FIR618;DB;618;DB618;AI_FB;ANALOG_IN\C600\4.FIR\;
FIR619;DB;619;DB619;AI_FB;ANALOG_IN\C600\4.FIR\;
FIR620;DB;620;DB620;AI_FB;ANALOG_IN\C600\4.FIR\;
FIR621;DB;621;DB621;AI_FB;ANALOG_IN\C600\4.FIR\;
FIR622;DB;622;DB622;AI_FB;ANALOG_IN\C600\4.FIR\;
FIR623;DB;623;DB623;AI_FB;ANALOG_IN\C600\4.FIR\;
FIR624;DB;624;DB624;AI_FB;ANALOG_IN\C600\4.FIR\;
FIR625;DB;625;DB625;AI_FB;ANALOG_IN\C600\4.FIR\;
FIR6101;DB;631;DB631;AI_FB;ANALOG_IN\C600\4.FIR\;
FIR6102;DB;632;DB632;AI_FB;ANALOG_IN\C600\4.FIR\;
FIR6103;DB;633;DB633;AI_FB;ANALOG_IN\C600\4.FIR\;
FIR6104;DB;634;DB634;AI_FB;ANALOG_IN\C600\4.FIR\;
FIR6105;DB;635;DB635;AI_FB;ANALOG_IN\C600\4.FIR\;
FIR6106;DB;636;DB636;AI_FB;ANALOG_IN\C600\4.FIR\;
FIR6107;DB;637;DB637;AI_FB;ANALOG_IN\C600\4.FIR\;
FIR6108;DB;638;DB638;AI_FB;ANALOG_IN\C600\4.FIR\;
FIR6109;DB;639;DB639;AI_FB;ANALOG_IN\C600\4.FIR\;
FIR6110;DB;640;DB640;AI_FB;ANALOG_IN\C600\4.FIR\;
FIR6111;DB;641;DB641;AI_FB;ANALOG_IN\C600\4.FIR\;
FIR6112;DB;642;DB642;AI_FB;ANALOG_IN\C600\4.FIR\;
FIR6113;DB;643;DB643;AI_FB;ANALOG_IN\C600\4.FIR\;
FIR6114;DB;644;DB644;AI_FB;ANALOG_IN\C600\4.FIR\;
FIR6115;DB;645;DB645;AI_FB;ANALOG_IN\C600\4.FIR\;
FIR6116;DB;646;DB646;AI_FB;ANALOG_IN\C600\4.FIR\;
FIR6117;DB;647;DB647;AI_FB;ANALOG_IN\C600\4.FIR\;
FIR6118;DB;648;DB648;AI_FB;ANALOG_IN\C600\4.FIR\;
FIR6119;DB;649;DB649;AI_FB;ANALOG_IN\C600\4.FIR\;
FIR6120;DB;650;DB650;AI_FB;ANALOG_IN\C600\4.FIR\;
FIR6121;DB;651;DB651;AI_FB;ANALOG_IN\C600\4.FIR\;
FIR6122;DB;652;DB652;AI_FB;ANALOG_IN\C600\4.FIR\;
FIR6123;DB;653;DB653;AI_FB;ANALOG_IN\C600\4.FIR\;
FIR6115-1;DB;654;DB654;AI_FB;ANALOG_IN\C600\4.FIR\;
C6100_AI_SET_TIR;DB;1000;DB1000;;ANALOG_IN\C600\1.TIR (61xx)\;
TIR6101;DB;1001;DB1001;AI_FB;ANALOG_IN\C600\1.TIR (61xx)\;
